{'question_idx': 4, 'pred_final_answer': '13', 'true_final_answer': '10'}
{'question_idx': 10, 'pred_final_answer': '2', 'true_final_answer': '17'}
{'question_idx': 11, 'pred_final_answer': '11', 'true_final_answer': '8'}
{'question_idx': 12, 'pred_final_answer': '24', 'true_final_answer': '18'}
{'question_idx': 28, 'pred_final_answer': '0', 'true_final_answer': '11'}
{'question_idx': 37, 'pred_final_answer': '38', 'true_final_answer': '40'}
{'question_idx': 43, 'pred_final_answer': '200', 'true_final_answer': '50'}
{'question_idx': 44, 'pred_final_answer': '28', 'true_final_answer': '36'}
{'question_idx': 46, 'pred_final_answer': '14', 'true_final_answer': '7'}
{'question_idx': 47, 'pred_final_answer': '8', 'true_final_answer': '2'}
{'question_idx': 50, 'pred_final_answer': '30', 'true_final_answer': '18'}
{'question_idx': 51, 'pred_final_answer': '', 'true_final_answer': '79'}
{'question_idx': 56, 'pred_final_answer': '53', 'true_final_answer': '21'}
{'question_idx': 58, 'pred_final_answer': '4', 'true_final_answer': '8'}
{'question_idx': 60, 'pred_final_answer': '3', 'true_final_answer': '25'}
{'question_idx': 63, 'pred_final_answer': '5', 'true_final_answer': '1'}
{'question_idx': 67, 'pred_final_answer': '80', 'true_final_answer': '20'}
{'question_idx': 70, 'pred_final_answer': '3', 'true_final_answer': '104'}
{'question_idx': 71, 'pred_final_answer': '315', 'true_final_answer': '45'}
{'question_idx': 85, 'pred_final_answer': '1', 'true_final_answer': '4'}
{'question_idx': 87, 'pred_final_answer': '2160', 'true_final_answer': '3430'}
{'question_idx': 91, 'pred_final_answer': '16', 'true_final_answer': '64'}
{'question_idx': 92, 'pred_final_answer': '80', 'true_final_answer': '40'}
{'question_idx': 93, 'pred_final_answer': '2180', 'true_final_answer': '2280'}
{'question_idx': 97, 'pred_final_answer': '20', 'true_final_answer': '35'}
{'question_idx': 100, 'pred_final_answer': '48', 'true_final_answer': '24'}
{'question_idx': 105, 'pred_final_answer': '36', 'true_final_answer': '576'}
{'question_idx': 113, 'pred_final_answer': '378000', 'true_final_answer': '262500'}
{'question_idx': 114, 'pred_final_answer': '55', 'true_final_answer': '40'}
{'question_idx': 115, 'pred_final_answer': '70', 'true_final_answer': '120'}
{'question_idx': 125, 'pred_final_answer': '126', 'true_final_answer': '100'}
{'question_idx': 135, 'pred_final_answer': '45', 'true_final_answer': '54'}
{'question_idx': 137, 'pred_final_answer': '12', 'true_final_answer': '13'}
{'question_idx': 140, 'pred_final_answer': '36', 'true_final_answer': '16'}
{'question_idx': 148, 'pred_final_answer': '5', 'true_final_answer': '6'}
{'question_idx': 149, 'pred_final_answer': '90', 'true_final_answer': '75'}
{'question_idx': 151, 'pred_final_answer': '8', 'true_final_answer': '20'}
