{'question_idx': 1, 'pred_final_answer': 'C', 'true_final_answer': 'B'}
{'question_idx': 2, 'pred_final_answer': 'A', 'true_final_answer': 'C'}
{'question_idx': 3, 'pred_final_answer': 'C', 'true_final_answer': 'A'}
{'question_idx': 6, 'pred_final_answer': 'D', 'true_final_answer': 'E'}
{'question_idx': 7, 'pred_final_answer': 'A', 'true_final_answer': 'B'}
{'question_idx': 9, 'pred_final_answer': 'E', 'true_final_answer': 'C'}
{'question_idx': 11, 'pred_final_answer': 'A', 'true_final_answer': 'C'}
{'question_idx': 14, 'pred_final_answer': 'C', 'true_final_answer': 'D'}
{'question_idx': 16, 'pred_final_answer': 'D', 'true_final_answer': 'B'}
{'question_idx': 17, 'pred_final_answer': 'C', 'true_final_answer': 'D'}
{'question_idx': 19, 'pred_final_answer': 'B', 'true_final_answer': 'C'}
{'question_idx': 21, 'pred_final_answer': 'A', 'true_final_answer': 'C'}
{'question_idx': 25, 'pred_final_answer': 'B', 'true_final_answer': 'D'}
{'question_idx': 33, 'pred_final_answer': '', 'true_final_answer': 'D'}
{'question_idx': 35, 'pred_final_answer': 'A', 'true_final_answer': 'B'}
{'question_idx': 36, 'pred_final_answer': 'D', 'true_final_answer': 'B'}
{'question_idx': 37, 'pred_final_answer': 'A', 'true_final_answer': 'B'}
{'question_idx': 38, 'pred_final_answer': 'B', 'true_final_answer': 'D'}
{'question_idx': 40, 'pred_final_answer': 'D', 'true_final_answer': 'E'}
{'question_idx': 41, 'pred_final_answer': 'E', 'true_final_answer': 'B'}
{'question_idx': 42, 'pred_final_answer': 'D', 'true_final_answer': 'B'}
{'question_idx': 44, 'pred_final_answer': '', 'true_final_answer': 'C'}
{'question_idx': 45, 'pred_final_answer': 'A', 'true_final_answer': 'D'}
{'question_idx': 50, 'pred_final_answer': 'E', 'true_final_answer': 'D'}
{'question_idx': 53, 'pred_final_answer': 'C', 'true_final_answer': 'A'}
{'question_idx': 54, 'pred_final_answer': 'D', 'true_final_answer': 'C'}
{'question_idx': 57, 'pred_final_answer': 'D', 'true_final_answer': 'E'}
{'question_idx': 63, 'pred_final_answer': '', 'true_final_answer': 'A'}
{'question_idx': 66, 'pred_final_answer': 'No answer', 'true_final_answer': 'E'}
{'question_idx': 67, 'pred_final_answer': 'D', 'true_final_answer': 'C'}
