{'question_idx': 3, 'pred_final_answer': '9', 'true_final_answer': '25'}
{'question_idx': 4, 'pred_final_answer': '13', 'true_final_answer': '10'}
{'question_idx': 10, 'pred_final_answer': '2', 'true_final_answer': '17'}
{'question_idx': 11, 'pred_final_answer': '3', 'true_final_answer': '8'}
{'question_idx': 37, 'pred_final_answer': '39', 'true_final_answer': '40'}
{'question_idx': 51, 'pred_final_answer': '4', 'true_final_answer': '79'}
{'question_idx': 56, 'pred_final_answer': '48', 'true_final_answer': '21'}
{'question_idx': 58, 'pred_final_answer': '4', 'true_final_answer': '8'}
{'question_idx': 60, 'pred_final_answer': '8', 'true_final_answer': '25'}
{'question_idx': 67, 'pred_final_answer': '80', 'true_final_answer': '20'}
{'question_idx': 70, 'pred_final_answer': '99', 'true_final_answer': '104'}
{'question_idx': 73, 'pred_final_answer': '1', 'true_final_answer': '4'}
{'question_idx': 87, 'pred_final_answer': '2160', 'true_final_answer': '3430'}
{'question_idx': 93, 'pred_final_answer': '2180', 'true_final_answer': '2280'}
{'question_idx': 97, 'pred_final_answer': '20', 'true_final_answer': '35'}
{'question_idx': 99, 'pred_final_answer': '5', 'true_final_answer': '2'}
{'question_idx': 100, 'pred_final_answer': '48', 'true_final_answer': '24'}
{'question_idx': 125, 'pred_final_answer': '124', 'true_final_answer': '100'}
{'question_idx': 136, 'pred_final_answer': '6000', 'true_final_answer': '6600'}
{'question_idx': 137, 'pred_final_answer': '12', 'true_final_answer': '13'}
{'question_idx': 140, 'pred_final_answer': '11', 'true_final_answer': '16'}
{'question_idx': 145, 'pred_final_answer': '24', 'true_final_answer': '34'}
{'question_idx': 148, 'pred_final_answer': '1', 'true_final_answer': '6'}
{'question_idx': 150, 'pred_final_answer': '8', 'true_final_answer': '16'}
{'question_idx': 151, 'pred_final_answer': '8', 'true_final_answer': '20'}
{'question_idx': 154, 'pred_final_answer': '18000', 'true_final_answer': '14000'}
{'question_idx': 161, 'pred_final_answer': '17', 'true_final_answer': '5'}
{'question_idx': 166, 'pred_final_answer': '20', 'true_final_answer': '80'}
{'question_idx': 171, 'pred_final_answer': '6', 'true_final_answer': '3'}
{'question_idx': 174, 'pred_final_answer': '236', 'true_final_answer': '92'}
{'question_idx': 176, 'pred_final_answer': '82', 'true_final_answer': '94'}
{'question_idx': 179, 'pred_final_answer': '6', 'true_final_answer': '8'}
{'question_idx': 183, 'pred_final_answer': '1', 'true_final_answer': '2'}
{'question_idx': 186, 'pred_final_answer': '40', 'true_final_answer': '35'}
{'question_idx': 189, 'pred_final_answer': '6', 'true_final_answer': '10'}
{'question_idx': 191, 'pred_final_answer': '9', 'true_final_answer': '2'}
{'question_idx': 194, 'pred_final_answer': '66', 'true_final_answer': '64'}
{'question_idx': 196, 'pred_final_answer': '5', 'true_final_answer': '18'}
{'question_idx': 201, 'pred_final_answer': '19', 'true_final_answer': '20'}
{'question_idx': 208, 'pred_final_answer': '100000', 'true_final_answer': '140000'}
{'question_idx': 218, 'pred_final_answer': '75', 'true_final_answer': '180'}
{'question_idx': 222, 'pred_final_answer': '11', 'true_final_answer': '1128'}
{'question_idx': 230, 'pred_final_answer': '11', 'true_final_answer': '410'}
{'question_idx': 232, 'pred_final_answer': '3', 'true_final_answer': '4'}
{'question_idx': 234, 'pred_final_answer': '4', 'true_final_answer': '36'}
{'question_idx': 237, 'pred_final_answer': '6', 'true_final_answer': '25'}
{'question_idx': 243, 'pred_final_answer': '1047', 'true_final_answer': '826'}
{'question_idx': 245, 'pred_final_answer': '3', 'true_final_answer': '50'}
{'question_idx': 246, 'pred_final_answer': '400', 'true_final_answer': '500'}
{'question_idx': 258, 'pred_final_answer': '160', 'true_final_answer': '5'}
{'question_idx': 260, 'pred_final_answer': '99', 'true_final_answer': '66'}
{'question_idx': 264, 'pred_final_answer': '1152', 'true_final_answer': '36'}
{'question_idx': 267, 'pred_final_answer': '27', 'true_final_answer': '48'}
{'question_idx': 269, 'pred_final_answer': '19', 'true_final_answer': '32'}
{'question_idx': 285, 'pred_final_answer': '44', 'true_final_answer': '16'}
{'question_idx': 292, 'pred_final_answer': '1630', 'true_final_answer': '655'}
{'question_idx': 293, 'pred_final_answer': '8760', 'true_final_answer': '7400'}
{'question_idx': 305, 'pred_final_answer': '132', 'true_final_answer': '11'}
{'question_idx': 325, 'pred_final_answer': '240', 'true_final_answer': '48'}
{'question_idx': 326, 'pred_final_answer': '625', 'true_final_answer': '500'}
{'question_idx': 331, 'pred_final_answer': '12', 'true_final_answer': '13'}
{'question_idx': 336, 'pred_final_answer': '115', 'true_final_answer': '230'}
{'question_idx': 338, 'pred_final_answer': '0', 'true_final_answer': '20'}
{'question_idx': 343, 'pred_final_answer': '7', 'true_final_answer': '2'}
{'question_idx': 353, 'pred_final_answer': '38', 'true_final_answer': '30'}
{'question_idx': 358, 'pred_final_answer': '5', 'true_final_answer': '240'}
{'question_idx': 361, 'pred_final_answer': '1', 'true_final_answer': '7'}
{'question_idx': 364, 'pred_final_answer': '150', 'true_final_answer': '145'}
{'question_idx': 374, 'pred_final_answer': '326', 'true_final_answer': '319'}
{'question_idx': 399, 'pred_final_answer': '8', 'true_final_answer': '192'}
{'question_idx': 401, 'pred_final_answer': '19', 'true_final_answer': '18'}
